Game ID,Name,Playtime (2 weeks),Playtime (forever),Icon URL
108710,Alan Wake,0,1085,http://media.steampowered.com/steamcommunity/public/images/apps/108710/ec7953511aaaf5a2c2093b872b5b43c6cab56462.jpg
214490,Alien: Isolation,0,1165,http://media.steampowered.com/steamcommunity/public/images/apps/214490/7bf964858835da75630a43ac0ddbf0f66a40902f.jpg
274310,Always Sometimes Monsters,0,77,http://media.steampowered.com/steamcommunity/public/images/apps/274310/b8d6a2bc557097acd2f3bdfe98a78710911b9279.jpg
250620,Among the Sleep,0,254,http://media.steampowered.com/steamcommunity/public/images/apps/250620/867def7ce49a576ca1c9916d509364c5eacef090.jpg
55040,Atom Zombie Smasher ,0,611,http://media.steampowered.com/steamcommunity/public/images/apps/55040/1def7881c31f5d65c3892056adefa418e127523e.jpg
31290,Back to the Future: Ep 1 - It's About Time,0,0,http://media.steampowered.com/steamcommunity/public/images/apps/31290/a9a9b1683209e3223779ad2315e4bf03e27619d7.jpg
107100,Bastion,0,561,http://media.steampowered.com/steamcommunity/public/images/apps/107100/8377b4460f19465c261673f76f2656bdb3288273.jpg
573100,Battlefleet Gothic: Armada 2,0,6080,http://media.steampowered.com/steamcommunity/public/images/apps/573100/081ca037fb5e0e2c2838e3bc0e4b30ab36b89c75.jpg
544610,Battlestar Galactica Deadlock,0,1122,http://media.steampowered.com/steamcommunity/public/images/apps/544610/9f04e46ee137eac4bcd300c566c91c858abb3c55.jpg
363680,Battlefleet Gothic: Armada,0,1844,http://media.steampowered.com/steamcommunity/public/images/apps/363680/76c587673e5491bb2381921bcfd01be616a04d38.jpg
303210,The Beginner's Guide,0,89,http://media.steampowered.com/steamcommunity/public/images/apps/303210/335470301322904bd6eeb32076595df7a811e015.jpg
113200,The Binding of Isaac,0,4988,http://media.steampowered.com/steamcommunity/public/images/apps/113200/383cf045ca20625db18f68ef5e95169012118b9e.jpg
250900,The Binding of Isaac: Rebirth,0,21641,http://media.steampowered.com/steamcommunity/public/images/apps/250900/16d46c8630499bfc54d20745ac90786a302cd643.jpg
7670,BioShock,0,0,http://media.steampowered.com/steamcommunity/public/images/apps/7670/9a7c9f640a76e6a32592277dbbc36a0f6da05372.jpg
409710,BioShock Remastered,0,394,http://media.steampowered.com/steamcommunity/public/images/apps/409710/eb72262cd3ccc3219dd76392be3b60a4b6cbfd38.jpg
91310,Dead Island,0,2248,http://media.steampowered.com/steamcommunity/public/images/apps/91310/1df9ab123c2180d8933038be7578a21e2442befb.jpg
45740,Dead Rising 2,0,1192,http://media.steampowered.com/steamcommunity/public/images/apps/45740/1a8ab50763c91798622cc43eaad21960bf4d4b1a.jpg
45770,Dead Rising 2: Off the Record,0,1104,http://media.steampowered.com/steamcommunity/public/images/apps/45770/390b241cf36d54a3cb59be36a72c35ed41f6172b.jpg
17470,Dead Space (2008),0,0,http://media.steampowered.com/steamcommunity/public/images/apps/17470/45e682594687a6c92037631225340d26c783362f.jpg
47780,Dead Space 2,0,667,http://media.steampowered.com/steamcommunity/public/images/apps/47780/6393351676edc4fdc65937a599780818fd2f18b7.jpg
